HERMES,Box Calf皮革Kelly 35銀扣手挽肩背兩用袋黑色,等級 A,"HKD 99,800"
HERMES,Box Calf皮革Kelly 35銀扣手挽肩背兩用袋黑色,等級 A,"HKD 99,800"
LOUIS VUITTON,Monogram el Vinyl Squishy Shoulder Tote Bag手挽袋黑色,等級 B,"HKD 7,980"
Miu Miu,羊皮皮革2 Way Shoulder金扣手挽肩背兩用袋紅色,等級 B,"HKD 2,980"
Dior,尼龍Backpack背包黑色/寶藍色/白色,等級 B,"HKD 8,980"
LOUIS VUITTON,Epi Kleber PM手挽肩背兩用袋粉紅色,等級 A,"HKD 15,800"
GUCCI,PVC Shoulder Bag肩背袋啡色,等級 A,"HKD 3,980"
LOUIS VUITTON,Damier Ribera Mini手挽袋啡色,等級 B,"HKD 7,980"
CHANEL,菱格牛皮皮革Shoulder Bag銀扣肩背袋米黃色,等級 B,"HKD 14,800"
LOEWE,牛皮皮革Gate腰包粉紅色,等級 A,"HKD 5,980"
CHANEL,菱格羊皮皮革Shoulder Tote銀扣鏈帶肩背袋黑色,等級 A,"HKD 27,800"
GUCCI,牛皮皮革Rucksack Backpack銀扣背包黑色,等級 B,"HKD 5,980"
LOUIS VUITTON,Monogram Tivoli PM Handbag金扣手挽袋啡色,等級 A,"HKD 7,980"
LOUIS VUITTON,Monogram Thames Shoulder Bag金扣肩背袋啡色,等級 B,"HKD 8,580"
LOUIS VUITTON,Monogram Reverse Carry It金扣肩背包啡色,等級 B,"HKD 9,980"
LOUIS VUITTON,Epi NeoNoe 2 Way Shoulder銀扣手挽肩背兩用袋藍色黃色,等級 A,"HKD 12,800"
Miu Miu,牛皮皮革2 Way Shoulder銀扣手挽肩背兩用袋裸色,等級 B,"HKD 3,980"
GUCCI,麂皮皮革Shoulder Bag金扣肩背袋黑色,等級 C,"HKD 4,980"
PRADA,尼龍Shoulder Bag金扣肩背袋黑色,等級 B,"HKD 3,980"
CARTIER,牛皮皮革Pouch手拿包藍色,等級 B,HKD 380
CHANEL,菱格Caviar皮革Shoulder Bag肩背袋粉紅色,等級 B,"HKD 22,800"
COACH,牛皮皮革Georgie Gem Crossbody肩背袋紅色,等級 S,"HKD 1,680"
COACH,塗層帆布2 Way Shoulder手挽肩背兩用袋啡色,等級 S,"HKD 1,680"
COACH,牛皮皮革2 Way Shoulder手挽肩背兩用袋白色,等級 S,"HKD 1,680"
HERMES,【激減優惠】PVC Vinly Kelly手挽袋透明色,等級 C,"HKD 2,980"
CHANEL,菱格牛皮皮革Chain Shoulder金扣肩背袋藍色,等級 A,"HKD 32,800"
Michael Kors,塗層帆布Tote Bag手挽袋寶藍色,等級 B,HKD 980
CHANEL,菱格尼龍Coco Cocoon手挽袋黑色,等級 B,"HKD 6,980"
LOUIS VUITTON,Monogram Denim Neo Cabby MM手挽肩背兩用袋黑色,等級 B,"HKD 5,980"
PRADA,牛皮皮革2 Way Shoulder手挽肩背兩用袋紅色,等級 B,"HKD 4,980"
﻿BOTTEGAVENETA,織紋皮革Intrecciato Tote Bag手挽袋啡色,等級 B,"HKD 4,580"
LOUIS VUITTON,Monogram Palermo PM手挽肩背兩用袋啡色,等級 B,"HKD 9,980"
Miu Miu,牛皮皮革Shoulder Bag肩背袋橙色,等級 B,"HKD 2,980"
HERMES,Negonda皮革GardenParty PM手挽袋Rouge Duchesse/紅色,等級 B,"HKD 23,800"
YVES SAINT LAURENT,牛皮皮革Sac De Jour銀扣手挽肩背兩用袋Rose粉紅色,等級 A,"HKD 8,980"
FENDI,帆布Tote Bag肩背袋啡色,等級 A,"HKD 3,980"
LOUIS VUITTON,Monogram Pallas MM手挽袋Rose/粉紅色/啡色,等級 B,"HKD 13,800"
Chloe,牛皮皮革Drew Bag鏈帶肩背袋粉藍色,等級 A,"HKD 4,980"
LOUIS VUITTON,Damier Naviglio Shoulder金扣肩背袋啡色,等級 B,"HKD 4,980"
HERMES,帆布Garden File手挽肩背兩用袋粉紅色,等級 A,"HKD 19,800"
HERMES,Mysore Goat皮革Verrou Mini Bag肩背袋淺藍色,等級 A,"HKD 55,800"
HERMES,Mysore Goat皮革Verrou Mini Bag肩背袋淺藍色,等級 A,"HKD 62,800"
GUCCI,帆布Shoulder Bag肩背袋啡色,等級 C,"HKD 2,580"
LOUIS VUITTON,Damier Cabas Rivington金扣肩背袋啡色,等級 A,"HKD 10,800"
GUCCI,牛皮皮革Sylvie肩背袋黑色,等級 B,"HKD 12,800"
CELINE,牛皮皮革Trapeze Bag手挽肩背兩用袋綠色,等級 A,"HKD 5,980"
CHANEL,帆布Chain Shoulder手挽肩背兩用袋粉紅色,等級 A,"HKD 21,800"
HERMES,Togo皮革Kelly 32銀扣手挽肩背兩用袋Rose Lipstick粉紅色,等級 A,"HKD 129,800"
HERMES,Evercolor皮革Trousse Atout26銀扣手拿包綠色,等級 A,"HKD 8,980"
LOUIS VUITTON,Eclipse Discovery Pochette手拿包黑色,等級 S,"HKD 5,280"
YVES SAINT LAURENT,馬毛Shoulder Bag肩背袋啡色,等級 A,"HKD 3,980"
SAINT LAURENT,帆布Shoulder Bag肩背袋米色,等級 A,"HKD 5,980"
LOUIS VUITTON,Monogram Speedy 25 Cherry手挽袋啡色,等級 B,"HKD 19,800"
CHANEL,Caviar皮革2 Way Shoulder手挽肩背兩用袋黑色,等級 B,"HKD 24,800"
HERMES,帆布Garden Party PM手挽袋灰綠色,等級 C,"HKD 5,980"
CELINE,牛皮皮革Sangle Bucket肩背袋深藍色,等級 B,"HKD 7,980"
HERMES,Epsom皮革Evelyne PM肩背袋Jaune Poussin黃色,等級 A,"HKD 26,800"
CHANEL,菱格漆皮皮革Classic Jumbo銀扣鏈帶肩背袋黑色,等級 B,"HKD 43,800"
LOUIS VUITTON,Monogram Empreinte Speedy Bandouliere 25手挽肩背兩用袋米黃色,等級 B,"HKD 14,800"
CHANEL,菱格牛皮皮革Chain Shoulder銀扣鏈帶肩背袋灰色,等級 A,"HKD 24,800"
LOUIS VUITTON,Monogram Carryall手挽袋啡色,等級 A,"HKD 9,980"
CHANEL,Caviar皮革Clutch Bag金扣手拿包啡色,等級 B,"HKD 8,980"
CELINE,牛皮皮革Mini Luggage手挽袋黑色,等級 B,"HKD 6,980"
CHANEL,菱格牛皮皮革Chain Shoulder銀扣肩背袋綠色,等級 A,"HKD 19,800"
CHANEL,菱格牛皮皮革Shoulder Bag銀扣肩背袋米色,等級 B,"HKD 16,800"
HERMES,Togo皮革Kelly 28銀扣手挽肩背兩用袋淺藍色,等級 B,"HKD 69,800"
HERMES,【激減優惠】Clemence皮革Birkin 35銀扣手挽袋藍色,等級 A,"HKD 73,800"
CHANEL,菱格羊皮皮革Backpack金扣背包紅色,等級 A,"HKD 26,800"
CHANEL,羊皮皮革Shoulder Bag手挽肩背兩用袋粉紅色,等級 S,"HKD 32,800"
YVES SAINT LAURENT,牛皮皮革Niki Bag鏈帶肩背袋灰色,等級 A,"HKD 12,800"
CHANEL,菱格漆皮皮革Shoulder Bag金扣鏈帶肩背袋紅色,等級 B,"HKD 18,800"
HERMES,Clemence皮革Lindy 34銀扣肩背袋黑色,等級 A,"HKD 49,800"
CHANEL,牛皮皮革CC Bucket Handbag手挽袋白色,等級 A,"HKD 19,800"
Chloe,牛皮皮革Shoulder Bag手挽肩背兩用袋橙色,等級 A,"HKD 2,980"
HERMES,Clemence皮革Kelly Ado銀扣背包Noir黑色,等級 A,"HKD 109,800"
HERMES,Epsom皮革Clic 16金扣肩背袋Bleu Saphir深藍色,新品,"HKD 22,800"
CHANEL,菱格羊皮皮革Chain Shoulder金扣鏈帶肩背袋黑色,等級 A,"HKD 16,800"
HERMES,Clemence皮革/鱷魚皮Lindy 26 Touch銀扣肩背袋Menthe綠色,等級 A,"HKD 99,800"
CHANEL,PVC Chain Shoulder鏈帶肩背袋黑色,等級 S,"HKD 19,800"
GUCCI,牛皮皮革2 Way Shoulder手挽肩背兩用袋黑色,等級 A,"HKD 12,800"
YVES SAINT LAURENT,牛皮皮革/麂皮皮革Shoulder Bag肩背袋黑色,等級 A,"HKD 7,980"
Dior,尼龍Shoulder Bag肩背袋黑色,等級 A,"HKD 7,980"
COACH,尼龍2 Way Shoulder手挽肩背兩用袋黑色,等級 B,HKD 780
LOUIS VUITTON,Monogram Keepall 45手挽袋啡色,等級 B,"HKD 5,980"
Salvatore Ferragamo,【激減優惠】漆皮皮革Handbag手挽袋紅色,等級 C,HKD 180
HERMES,Clemence皮革Evelyne TPM肩背袋藍色,等級 B,"HKD 16,800"
HERMES,Epsom皮革Birkin 30銀扣手挽袋Bleu Electrique藍色,等級 A,"HKD 129,800"
HERMES,帆布Garden Party PM手挽袋米色/啡色,新品,"HKD 26,800"
HERMES,Clemence皮革Lindy 30銀扣肩背袋紅色,等級 A,"HKD 49,800"
Miu Miu,牛皮皮革2 Way Shoulder手挽肩背兩用袋裸色,等級 B,"HKD 2,980"
CHANEL,菱格帆布Handbag銀扣手挽袋粉紅色,等級 B,"HKD 9,980"
BOTTEGAVENETA,織紋皮革2 Way Shoulder手挽肩背兩用袋啡色,等級 A,"HKD 7,980"
Tory Burch,牛皮皮革Tote Bag手挽袋/肩背袋紫紅色,等級 C,HKD 980
COACH,牛皮皮革Shoulder Bag金扣肩背袋裸色,等級 S,"HKD 1,680"
COACH,牛皮皮革Shoulder Tote銀扣肩背袋啡色,等級 A,"HKD 1,280"
COACH,牛皮皮革2 Way Shoulder金扣手挽肩背兩用袋黑色,等級 S,"HKD 1,580"
Michael Kors,牛皮皮革Chain Shoulder金扣肩背袋黑色,等級 S,"HKD 1,680"
LOUIS VUITTON,帆布Tahitienne Cabas PM金扣肩背袋粉紅色,等級 C,"HKD 3,980"
